canonical_product_id,canonical_tmpl_id,default_code,product_name,uom,company_id,also_applies_to,vendor_name,vendor_price,currency,min_qty
1376,1376,,Active Dry Yeast,kg,5,,"","",EUR,0
981,981,,"Annatto, ground",kg,5,,"","",EUR,0
1135,1135,,"Apple, fresh",kg,,,"","",EUR,0
891,891,,Baking Powder 1kg Ruf,kg,,,"","",EUR,0
938,938,,Baking soda,kg,,,"","",EUR,0
945,945,,"Beef, goulash cut, fresh",kg,,,"","",EUR,0
963,963,,"Beef, ground meat",kg,,,"","",EUR,0
965,965,,Breadcrumbs,kg,,,"","",EUR,0
941,941,,"Butter beans, canned",kg,,,"","",EUR,0
986,986,,"Butter, unsalted",kg,5,,"","",EUR,0
927,927,,"Carrots, fresh",kg,,,"","",EUR,0
924,924,,Cayenne pepper powder,kg,,,"","",EUR,0
928,928,,"Chayote (Cho Cho), fresh",kg,,,"","",EUR,0
896,896,,"Chicken thigh, no bones, fresh",kg,,,"","",EUR,0
1136,1136,,Chili Flakes with Seed,kg,,,"","",EUR,0
1137,1137,,Chili Paste (Gochujang),kg,,,"","",EUR,0
1138,1138,,"Chili Powder, Coarse",kg,,,"","",EUR,0
893,893,Chungjugone Corn Syrup 5kg,Chungjugone Maissirup 5kg,kg,,1001,"","",EUR,0
934,934,,"Cilantro, fresh",kg,,,"","",EUR,0
1006,1006,,Cinnamon & Nutmeg,Units,,,"","",EUR,0
933,933,,Coconut milk,kg,,,"","",EUR,0
918,918,,"Coriander seeds, whole",kg,,,"","",EUR,0
953,953,,"Cornmeal, fine",25kg,,,"","",EUR,0
1139,1139,,Cranberry Juice,L,,,"","",EUR,0
1140,1140,,Cumin Powder,kg,,,"","",EUR,0
961,961,,"Cunmin, whole",kg,,,"","",EUR,0
1141,1141,,Curry Powder,kg,,,"","",EUR,0
957,957,,Disodium inosinate & guanylate (I+G),kg,,,"","",EUR,0
1142,1142,,Donkatsu Sauce,kg,,,"","",EUR,0
1143,1143,,Dried Chili,kg,,,"","",EUR,0
1144,1144,,Dried Shiitake Mushroom,kg,,,"","",EUR,0
1145,1145,,Fish sauce,L,,,"","",EUR,0
879,879,,"Garlic, fresh",kg,,,"","",EUR,0
930,930,,"Ginger, fresh",kg,,,"","",EUR,0
929,929,,"Grated Coconut, dry",kg,,,"","",EUR,0
1378,1378,,"Greek Yogurt, full-fat",kg,,,"","",EUR,0
1146,1146,,Honey,kg,,,"","",EUR,0
1147,1147,,Honey Yuzu,kg,,,"","",EUR,0
1545,1545,,Iceberg salad,kg,,,"","",EUR,0
926,926,,Ice water,kg,,,"","",EUR,0
897,897,,Ketchup 10kg Eimer,kg,,,"","",EUR,0
881,881,,Kikkoman Soy Sauce 20L,kg,,,"","",EUR,0
1148,1148,,Konbu (Dried Kelp),kg,,,"","",EUR,0
1149,1149,,"Lemon, fresh",kg,,,"","",EUR,0
884,884,,"Lime Juice, fresh",kg,,1000,"","",EUR,0
943,943,,"Mango Puree (Alphonso), canned 850g","0,85kg Can",,,"","",EUR,0
916,916,,Margarine,kg,,,"","",EUR,0
902,902,,Mayonnaise 10kg Eimer,10kg,,,"","",EUR,0
1150,1150,,Mijak (Korean Fish Stock),L,,,"","",EUR,0
1151,1151,,Mirin,L,,,"","",EUR,0
955,955,,Modified starch (E1422),kg,,,"","",EUR,0
890,890,,MSG,kg,,,"","",EUR,0
1152,1152,,Mushroom Powder,kg,,,"","",EUR,0
944,944,,"Onion, red, fresh",kg,,,"","",EUR,0
903,903,,"Onions,  yellow, fresh",kg,,,"","",EUR,0
1153,1153,,"Orange Juice, fresh",L,,,"","",EUR,0
940,940,,"Oxtail, fresh",kg,,,"","",EUR,0
951,951,,Paprika oleoresin (E160c),kg,,,"","",EUR,0
904,904,,Paprika powder TRS,kg,,,"","",EUR,0
935,935,,"Parsley, flat leaf, fresh",kg,,,"","",EUR,0
1154,1154,,"Pear, fresh",kg,,,"","",EUR,0
1155,1155,,"Pineapple, canned",Units,,,"","",EUR,0
1156,1156,,Plum Syrup,kg,,,"","",EUR,0
948,948,,Potassium sorbate (E202),kg,,,"","",EUR,0
908,908,,Potato / Kartoffeln Festkochend 25kg,25kg,,,"","",EUR,0
1157,1157,,"Radish, fresh",kg,,,"","",EUR,0
985,985,,"Red Kidney Beans, canned",kg,5,,"","",EUR,0
932,932,,"Red peas, canned",kg,,,"","",EUR,0
937,937,,Rice flour,kg,,,"","",EUR,0
931,931,,"Rice, long grain",kg,,,"","",EUR,0
1158,1158,,"Rosemary, dried",kg,,,"","",EUR,0
1159,1159,,Salted Shrimp,kg,,,"","",EUR,0
889,889,,"Salt, fine",kg,,899,"","",EUR,0
880,880,,"Scallions, fresh",kg,,,"","",EUR,0
910,910,,"Scotch Bonnet Pepper, fresh",kg,,877|958,"","",EUR,0
909,909,,"SEMPIO Sojasauce, Jin S 15l// Soy Sauce Big Bottle Jin 15 L",15l Canister,,,"","",EUR,0
1160,1160,,Sesame Oil,L,,,"","",EUR,0
1161,1161,,Sesame Paste (Tahini),kg,,,"","",EUR,0
1162,1162,,Sesame Seeds,kg,,,"","",EUR,0
1005,1005,,Smoked Paprika,Units,,,"","",EUR,0
949,949,,Sodium benzoate (E211),kg,,,"","",EUR,0
1164,1164,,Soybean Paste (Doenjang),kg,,,"","",EUR,0
1163,1163,,Soy Meat,kg,,,"","",EUR,0
991,991,,"Soy Sauce, dark",kg,,,"","",EUR,0
1165,1165,,Spicy Potato Sauce,kg,,,"","",EUR,0
885,885,,"Sugar, brown",kg,,1002|1379,"","",EUR,0
898,898,,"Sugar, white 1kg",kg,,,"","",EUR,0
905,905,,"Sweet peppers, yellow, fresh",kg,,,"","",EUR,0
878,878,,"Thyme, fresh",kg,,,"","",EUR,0
964,964,,"Tomato, fresh",kg,,,"","",EUR,0
915,915,,Vanilla extract Bourbon 500ml,kg,,,"","",EUR,0
982,982,,Vegetable Shortening,kg,5,,"","",EUR,0
901,901,,"Vinegar, white 5% 5l",5kg,,,"","",EUR,0
1166,1166,,Wasabi Powder,kg,,,"","",EUR,0
1183,1183,,"Water, destilled",kg,,,"","",EUR,0
900,900,,"Water, tap",kg,,,"","",EUR,0
914,914,,White Maize Flour 25kg,25kg,,,"","",EUR,0
1167,1167,,"White Pepper, ground",kg,,,"","",EUR,0
1375,1375,,"Whole Egg, liquid",kg,5,,"","",EUR,0
954,954,,Whole milk powder,kg,,,"","",EUR,0
952,952,,Xanthan gum (E415),kg,,,"","",EUR,0
