product_id,product_name,default_code,category,stock_uom,stock_uom_categ,purchase_uom,purchase_uom_categ,last_po_uom,last_po_uom_categ,last_po_date,bom_line_uoms,bom_count,flags,proposed_bucket,proposed_kg_per_l
756,KFC Soy Sauce 15Kg,,All / SEMI-FINISHED GOODS / Sauces,Units,Unit,Units,Unit,,,,kg,2,bom-line<>stock categ,sauce_1.15,1.15
881,Kikkoman Soy Sauce 20L,,All / RAW MATERIALS / Condiments & Liquids,kg,Weight,kg,Weight,,,,"L, kg",31,bom-line<>stock categ,sauce_1.15,1.15
1149,"Lemon, fresh",,All / RAW MATERIALS / Fresh Produce / Fruits,kg,Weight,kg,Weight,,,,Units,2,bom-line<>stock categ,review,
884,"Lime Juice, fresh",,All / RAW MATERIALS / Fresh Produce / Fruits,kg,Weight,kg,Weight,,,,"Units, kg",21,bom-line<>stock categ,water_1.00,1.0
1102,Olivenöl Sansa 12x1 Ltr.,,All,Units,Unit,Units,Unit,,,,L,2,bom-line<>stock categ,review,
1153,"Orange Juice, fresh",,All / RAW MATERIALS / Fresh Produce / Fruits,kg,Weight,kg,Weight,,,,"L, kg",3,bom-line<>stock categ,water_1.00,1.0
882,Rapeseed Oil,,All / RAW MATERIALS / Oils & Fats,kg,Weight,kg,Weight,,,,"L, kg",20,bom-line<>stock categ,oil_0.92,0.92
729,Red Sauce 10kg,,All / SEMI-FINISHED GOODS / Sauces,Units,Unit,Units,Unit,,,,kg,2,bom-line<>stock categ,sauce_1.15,1.15
901,"Vinegar, white 5% 5l",,All / RAW MATERIALS / Condiments & Liquids,5kg,Weight,5kg,Weight,,,,"L, kg",19,bom-line<>stock categ,vinegar_1.05,1.05
900,"Water, tap",,All / RAW MATERIALS / Dry Goods,kg,Weight,kg,Weight,,,,"L, kg",37,bom-line<>stock categ,water_1.00,1.0
909,"[400105] SEMPIO Sojasauce, Jin S 15l// Soy Sauce Big Bottle Jin 15 L",400105,All / RAW MATERIALS / Dry Goods,kg,Weight,kg,Weight,,,,"15l Canister, kg",2,,,
1001,[404002] Corn Syrup,404002,All,kg,Weight,kg,Weight,,,,kg,1,,,
1160,[413065] Sesame Oil,413065,All / RAW MATERIALS / Oils & Fats,L,Volume,L,Volume,,,,L,16,,,
1019,[6013501] Chili gemahlen,6013501,All / RAW MATERIALS / Spices & Seasonings,kg,Weight,kg,Weight,,,,kg,14,,,
893,[Chungjugone Corn Syrup 5kg] Chungjugone Maissirup 5kg,Chungjugone Corn Syrup 5kg,All / RAW MATERIALS / Dry Goods,kg,Weight,kg,Weight,,,,kg,21,,,
1376,Active Dry Yeast,,All,kg,Weight,kg,Weight,,,,kg,1,,,
886,"All spice (Pimento), whole",,All / RAW MATERIALS / Spices & Seasonings,kg,Weight,kg,Weight,kg,Weight,2026-04-02 13:31:11,kg,18,,,
883,Apple Cider Vinegar,,All / RAW MATERIALS / Condiments & Liquids,kg,Weight,kg,Weight,kg,Weight,2026-04-02 13:31:11,kg,4,,,
1135,"Apple, fresh",,All / RAW MATERIALS / Fresh Produce / Fruits,kg,Weight,kg,Weight,,,,kg,12,,,
950,Ascorbic acid (E300),,All / RAW MATERIALS / Dry Goods / Preservatives,kg,Weight,kg,Weight,kg,Weight,2026-04-02 13:31:11,kg,2,,,
891,Baking Powder 1kg Ruf,,All / RAW MATERIALS / Dry Goods,kg,Weight,kg,Weight,,,,kg,3,,,
938,Baking soda,,All / RAW MATERIALS / Dry Goods,kg,Weight,kg,Weight,,,,kg,2,,,
892,"Bay leaves, dried",,All / RAW MATERIALS / Spices & Seasonings,kg,Weight,kg,Weight,,,,kg,4,,,
962,Beef Patty Filling,,All,kg,Weight,kg,Weight,,,,kg,1,,,
942,Beef stock powder,,All / RAW MATERIALS / Dry Goods,kg,Weight,kg,Weight,kg,Weight,2026-03-20 10:49:12,kg,1,,,
945,"Beef, goulash cut, fresh",,All / RAW MATERIALS / Meat & Poultry,kg,Weight,kg,Weight,,,,kg,1,,,
963,"Beef, ground meat",,All,kg,Weight,kg,Weight,,,,kg,1,,,
1235,"Black Pepper, ground",,All / RAW MATERIALS / Fresh Produce / Vegetables,kg,Weight,kg,Weight,,,,kg,2,,,
888,"Black peppercorn, whole",,All / RAW MATERIALS / Spices & Seasonings,kg,Weight,kg,Weight,kg,Weight,2026-03-20 10:49:12,kg,31,,,
965,Breadcrumbs,,All,kg,Weight,kg,Weight,,,,kg,1,,,
872,Brown Stew Chicken- Stage 1/3 Marinate Base,,All / SEMI-FINISHED GOODS / Cooked Components,kg,Weight,kg,Weight,kg,Weight,2026-03-20 10:49:12,kg,1,,,
873,Brown Stew Chicken- Stage 2/3 Fresh Ingredient Prep,,All / SEMI-FINISHED GOODS / Cooked Components,kg,Weight,kg,Weight,,,,kg,1,,,
839,Browning Sauce,,All / RAW MATERIALS / Dry Goods,kg,Weight,kg,Weight,kg,Weight,2026-03-20 10:49:12,kg,4,,,
941,"Butter beans, canned",,All / RAW MATERIALS / Dry Goods,kg,Weight,kg,Weight,,,,kg,2,,,
986,"Butter, unsalted",,All,kg,Weight,kg,Weight,,,,kg,3,,,
1580,"Cabbage, red",,All / RAW MATERIALS / Fresh Produce / Vegetables,kg,Weight,kg,Weight,,,,kg,1,,,
1257,"Cabbage, white",,All / RAW MATERIALS / Fresh Produce / Vegetables,kg,Weight,kg,Weight,,,,kg,2,,,
947,Calnort Beef Bouillon Powder 1kg,,All / RAW MATERIALS / Dry Goods,kg,Weight,kg,Weight,,,,kg,11,,,
946,Calnort Chicken Bouillon Powder 1kg,,All / RAW MATERIALS / Dry Goods,kg,Weight,kg,Weight,,,,kg,6,,,
923,"Cardamon, whole",,All / RAW MATERIALS / Spices & Seasonings,kg,Weight,kg,Weight,,,,kg,1,,,
927,"Carrots, fresh",,All / RAW MATERIALS / Fresh Produce / Vegetables,kg,Weight,kg,Weight,,,,kg,7,,,
924,Cayenne pepper powder,,All / RAW MATERIALS / Spices & Seasonings,kg,Weight,kg,Weight,,,,kg,2,,,
928,"Chayote (Cho Cho), fresh",,All / RAW MATERIALS / Fresh Produce / Vegetables,kg,Weight,kg,Weight,,,,kg,2,,,
896,"Chicken thigh, no bones, fresh",,All / RAW MATERIALS / Meat & Poultry,kg,Weight,kg,Weight,,,,kg,3,,,
1136,Chili Flakes with Seed,,All / RAW MATERIALS / Spices & Seasonings,kg,Weight,kg,Weight,,,,kg,2,,,
1137,Chili Paste (Gochujang),,All / RAW MATERIALS / Condiments & Liquids,kg,Weight,kg,Weight,,,,kg,8,,,
1138,"Chili Powder, Coarse",,All / RAW MATERIALS / Spices & Seasonings,kg,Weight,kg,Weight,,,,kg,8,,,
1094,Chinakohl Kiste,,All,Units,Unit,Units,Unit,,,,Units,2,,,
934,"Cilantro, fresh",,All / RAW MATERIALS / Fresh Produce / Herbs & Greens,kg,Weight,kg,Weight,,,,kg,2,,,
1006,Cinnamon & Nutmeg,,All,kg,Weight,kg,Weight,,,,kg,1,,,
