name_match,sku_match,barcode_match,a_id,a_name,a_sku,a_barcode,a_company,a_created,b_id,b_name,b_sku,b_barcode,b_company,b_created
YES,,,707,Kitchen Extra,81,,,2023-09-22,709,Extra Kitchen,,,,2023-10-25
YES,,,408,Extra Kitchen,,,Ssam Warschauerstraße GmbH,2023-03-26,709,Extra Kitchen,,,,2023-10-25
YES,,,408,Extra Kitchen,,,Ssam Warschauerstraße GmbH,2023-03-26,707,Kitchen Extra,81,,,2023-09-22
YES,,,737,KFC Powder 13kg ,,,,2024-10-17,1088,KFC Powder 13kg,,,,2026-04-13
YES,,,884,"Lime Juice, fresh",,,,2026-03-19,1000,Fresh Lime Juice,,,,2026-04-10
YES,,,903,"Onions,  yellow, fresh",,,,2026-03-19,995,Yellow Onions (Fresh),,,,2026-04-10
YES,,,1251,Plain Tofu 450g,,,,2026-04-14,1443,Tofu Plain 450g,V-73-120910003,,,2026-04-17
YES,,,885,"Sugar, brown",,,,2026-03-19,1002,Brown Sugar,,,,2026-04-10
YES,,,878,"Thyme, fresh",,,,2026-03-19,1013,Fresh Thyme,,,,2026-04-11
YES,,,900,"Water, tap",,,,2026-03-19,1014,Tap Water,,,,2026-04-11
,YES,,401,Crispy Korean Fried Chicken,100,,,2023-03-26,553,KFC Sweet and Spicy,100,,,2023-07-21
,YES,,1497,KIMPO Medium Grain Sushi Rice 9.07kg,V-72-200009D,,,2026-04-17,1499,KIMPO Medium Grain Sushi Rice 9.07kg (alt),V-72-200009D,,,2026-04-17
,YES,,1520,SEMPIO Soy Sauce Jin S 15L,V-72-400105,,,2026-04-17,1521,SEMPIO Soy Sauce Jin S 15L (alt),V-72-400105,,,2026-04-17
,YES,,1520,SEMPIO Soy Sauce Jin S 15L,V-72-400105,,,2026-04-17,1522,SEMPIO Soy Sauce Jin S 15L (alt2),V-72-400105,,,2026-04-17
,YES,,1521,SEMPIO Soy Sauce Jin S 15L (alt),V-72-400105,,,2026-04-17,1522,SEMPIO Soy Sauce Jin S 15L (alt2),V-72-400105,,,2026-04-17
